audience,example,person,entity_type,count,over_summary_length
self,manual_example,1,NORP,4,0.0013328890369876708
self,manual_example,1,MONEY,2,0.0006664445184938354
self,manual_example,1,ORG,5,0.0016661112962345886
self,manual_example,1,GPE,21,0.006997667444185272
self,manual_example,1,DATE,9,0.002999000333222259
self,manual_example,1,PERSON,15,0.004998333888703766
self,manual_example,1,TIME,1,0.0003332222592469177
self,manual_example,1,FAC,1,0.0003332222592469177
self,manual_example,1,TOTAL,60,0.019993335554815063
self,manual_example,1,CARDINAL,2,0.0006664445184938354
self,manual_example,1,NORP,4,0.0013328890369876708
self,manual_example,1,MONEY,2,0.0006664445184938354
self,manual_example,1,ORG,5,0.0016661112962345886
self,manual_example,1,GPE,21,0.006997667444185272
self,manual_example,1,DATE,9,0.002999000333222259
self,manual_example,1,PERSON,15,0.004998333888703766
self,manual_example,1,TIME,1,0.0003332222592469177
self,manual_example,1,FAC,1,0.0003332222592469177
self,manual_example,1,TOTAL,60,0.019993335554815063
self,masked_manual_example,1,CARDINAL,1,0.0004046944556859571
self,masked_manual_example,1,NORP,1,0.0004046944556859571
self,masked_manual_example,1,MONEY,2,0.0008093889113719142
self,masked_manual_example,1,ORG,6,0.0024281667341157424
self,masked_manual_example,1,GPE,11,0.004451639012545528
self,masked_manual_example,1,DATE,6,0.0024281667341157424
self,masked_manual_example,1,PERSON,7,0.0028328611898017
self,masked_manual_example,1,FAC,2,0.0008093889113719142
self,masked_manual_example,1,TOTAL,36,0.014569000404694455
self,masked_manual_example,1,CARDINAL,1,0.0004046944556859571
self,masked_manual_example,1,NORP,1,0.0004046944556859571
self,masked_manual_example,1,MONEY,2,0.0008093889113719142
self,masked_manual_example,1,ORG,6,0.0024281667341157424
self,masked_manual_example,1,GPE,11,0.004451639012545528
self,masked_manual_example,1,DATE,6,0.0024281667341157424
self,masked_manual_example,1,PERSON,7,0.0028328611898017
self,masked_manual_example,1,FAC,2,0.0008093889113719142
self,masked_manual_example,1,TOTAL,36,0.014569000404694455
self,masked_manual_example,1,CARDINAL,1,0.0004046944556859571
self,masked_manual_example,1,NORP,1,0.0004046944556859571
self,masked_manual_example,1,MONEY,2,0.0008093889113719142
self,masked_manual_example,1,ORG,6,0.0024281667341157424
self,masked_manual_example,1,GPE,11,0.004451639012545528
self,masked_manual_example,1,DATE,6,0.0024281667341157424
